FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
1/5/2020,9,-99,35,48,-99,42,47,-99,-99,47,88,70,-99,-99,-99,64,75,-99,91,-99,82,-99,35,39,75,85,32,-99,89,74,61,-99,59,43,81
1/5/2020,10,-99,38,29,-99,64,55,-99,-99,44,59,48,-99,-99,-99,60,63,-99,99,-99,27,-99,38,33,54,61,40,-99,41,69,50,-99,46,44,83
1/5/2020,11,-99,42,25,-99,41,50,-99,-99,27,48,46,-99,-99,-99,56,56,-99,80,-99,24,-99,31,34,41,61,43,-99,35,56,45,-99,42,37,86
1/5/2020,12,-99,33,26,-99,42,45,-99,-99,19,34,33,-99,-99,-99,61,59,-99,64,-99,19,-99,36,42,39,63,33,-99,30,43,47,-99,49,18,80
1/5/2020,13,-99,27,9,-99,40,30,-99,-99,14,15,27,-99,-99,-99,43,45,-99,48,-99,17,-99,43,28,38,52,25,-99,27,34,32,-99,46,12,65
1/5/2020,14,-99,22,9,-99,35,22,-99,-99,16,9,19,-99,-99,-99,36,36,-99,36,-99,14,-99,37,24,34,30,12,-99,20,42,21,-99,40,11,47
1/5/2020,15,-99,24,17,-99,33,17,-99,-99,16,7,20,-99,-99,-99,29,16,-99,44,-99,10,-99,37,19,30,31,12,-99,19,32,14,-99,41,10,43
1/5/2020,16,-99,20,13,-99,31,19,-99,-99,15,9,17,-99,-99,-99,30,14,-99,39,-99,9,-99,20,19,30,19,14,-99,20,27,10,-99,28,6,32
1/5/2020,17,-99,23,10,-99,22,25,-99,-99,18,13,17,-99,-99,-99,34,19,-99,50,-99,8,-99,21,25,20,20,16,-99,26,24,9,-99,27,6,32
1/5/2020,18,-99,31,18,-99,26,30,-99,-99,25,13,24,-99,-99,-99,44,35,-99,53,-99,7,-99,31,29,25,27,20,-99,33,31,20,-99,35,16,40
1/5/2020,19,-99,26,31,-99,44,32,-99,-99,73,18,80,-99,-99,-99,78,53,-99,96,-99,12,-99,57,36,82,49,56,-99,35,56,35,-99,73,22,42
1/5/2020,20,-99,22,25,-99,65,32,-99,-99,135,17,64,-99,-99,-99,90,45,-99,67,-99,82,-99,98,34,104,45,70,-99,49,62,40,-99,113,27,88
1/5/2020,21,-99,26,24,-99,71,47,-99,-99,137,22,64,-99,-99,-99,99,55,-99,77,-99,74,-99,65,30,48,54,57,-99,43,54,39,-99,89,39,140
1/5/2020,22,-99,31,25,-99,75,89,-99,-99,84,35,119,-99,-99,-99,118,61,-99,79,-99,117,-99,59,58,67,55,49,-99,36,60,50,-99,96,41,133
1/5/2020,23,-99,31,36,-99,108,76,-99,-99,53,87,112,-99,-99,-99,121,52,-99,80,-99,122,-99,59,34,107,-99,40,-99,45,65,62,-99,105,41,175
1/5/2020,24,-99,30,21,-99,67,58,-99,-99,86,101,64,-99,-99,-99,117,40,-99,60,-99,75,-99,71,31,89,45,32,-99,53,56,61,-99,121,63,136
1/6/2020,1,-99,30,14,-99,50,55,-99,-99,46,102,48,-99,-99,-99,81,44,-99,67,-99,56,-99,57,32,60,86,40,-99,52,35,80,-99,94,59,119
1/6/2020,2,-99,36,34,-99,50,71,-99,-99,66,92,50,-99,-99,-99,80,44,-99,63,-99,83,-99,55,30,54,94,29,-99,37,54,71,-99,67,45,133
1/6/2020,3,-99,38,23,-99,61,66,-99,-99,49,69,46,-99,-99,-99,76,88,-99,87,-99,51,-99,44,29,50,71,27,-99,27,46,55,-99,64,51,142
1/6/2020,4,-99,32,21,-99,60,59,-99,-99,51,67,41,-99,-99,-99,75,64,-99,77,-99,43,-99,46,28,41,63,35,-99,31,40,38,-99,62,59,104
1/6/2020,5,-99,33,28,-99,103,60,-99,-99,46,83,38,-99,-99,-99,66,62,-99,60,-99,63,-99,40,31,37,49,31,-99,30,56,88,-99,65,61,113
1/6/2020,6,-99,25,59,-99,145,60,-99,-99,50,107,68,-99,-99,-99,71,112,-99,85,-99,106,-99,55,35,61,107,37,-99,51,86,75,-99,88,68,118
1/6/2020,7,-99,24,96,-99,192,75,-99,-99,85,133,135,-99,-99,-99,115,159,-99,149,-99,124,-99,72,46,108,117,107,-99,46,103,93,-99,154,91,185
1/6/2020,8,-99,27,118,-99,278,114,-99,-99,93,139,149,-99,-99,-99,140,257,-99,213,-99,254,-99,110,91,150,122,98,-99,46,-99,270,-99,186,106,155
1/6/2020,9,-99,114,145,-99,203,163,-99,-99,179,138,212,-99,-99,-99,190,144,-99,149,-99,141,-99,212,95,239,112,60,-99,65,194,261,-99,102,87,195
1/6/2020,10,-99,101,117,-99,127,133,-99,-99,171,143,182,-99,-99,-99,115,128,-99,113,-99,57,-99,190,71,158,112,51,-99,42,188,243,-99,71,114,148
1/6/2020,11,-99,82,-99,-99,107,76,-99,-99,72,145,178,-99,-99,-99,68,115,-99,135,-99,40,-99,145,85,112,98,73,-99,49,146,171,-99,60,97,94
1/6/2020,12,-99,45,-99,-99,83,50,-99,-99,71,78,124,-99,-99,-99,62,141,-99,130,-99,31,-99,114,61,107,89,66,-99,29,139,106,-99,75,67,79
1/6/2020,13,-99,30,-99,-99,62,43,-99,-99,62,35,77,-99,-99,-99,85,57,-99,71,-99,16,-99,49,37,101,64,54,-99,18,109,40,-99,67,31,71
1/6/2020,14,-99,29,-99,-99,56,37,-99,-99,47,28,62,-99,-99,-99,57,43,-99,48,-99,10,-99,18,32,41,51,40,-99,16,83,31,-99,35,24,-99
1/6/2020,15,-99,24,-99,-99,44,46,-99,-99,35,26,61,-99,-99,-99,39,35,-99,46,-99,10,-99,24,36,43,32,33,-99,15,73,29,-99,35,19,-99
1/6/2020,16,-99,28,-99,-99,41,36,-99,-99,36,20,60,-99,-99,-99,36,29,-99,60,-99,10,-99,26,37,38,29,30,-99,12,76,25,-99,33,17,-99
1/6/2020,17,-99,33,-99,-99,45,32,-99,-99,44,20,66,-99,-99,-99,47,35,-99,54,-99,14,-99,28,33,28,30,40,-99,9,58,26,-99,40,14,67
1/6/2020,18,-99,48,-99,-99,53,43,-99,-99,59,17,51,-99,-99,-99,47,42,-99,71,-99,21,-99,31,47,14,43,52,-99,12,54,28,-99,36,18,71
1/6/2020,19,-99,48,-99,-99,70,62,-99,-99,104,33,43,-99,-99,-99,76,59,-99,113,-99,25,-99,31,65,22,51,73,-99,34,95,48,-99,41,36,42
1/6/2020,20,-99,61,-99,-99,114,75,-99,-99,34,31,64,-99,-99,-99,87,79,-99,77,-99,28,-99,41,74,24,72,101,-99,33,97,76,-99,69,46,66
1/6/2020,21,-99,63,-99,-99,114,90,-99,-99,28,84,54,-99,-99,-99,113,91,-99,132,-99,45,-99,57,62,33,62,115,-99,35,115,73,-99,93,69,95
1/6/2020,22,-99,36,-99,-99,128,99,-99,-99,70,127,143,-99,-99,-99,90,168,-99,175,-99,114,-99,97,52,157,60,77,-99,43,135,116,-99,126,158,105
1/6/2020,23,-99,23,-99,-99,151,78,-99,-99,81,112,74,-99,-99,-99,100,279,-99,216,-99,92,-99,190,37,205,144,47,-99,67,91,77,-99,66,202,109
1/6/2020,24,-99,21,-99,-99,89,43,-99,-99,88,85,60,-99,-99,-99,131,239,-99,194,-99,132,-99,182,23,166,189,35,-99,85,72,130,-99,81,183,211
1/7/2020,1,-99,20,-99,-99,65,26,-99,-99,62,65,30,-99,-99,-99,135,157,-99,131,-99,112,-99,149,23,192,146,35,-99,50,47,103,-99,101,124,172
1/7/2020,2,-99,14,-99,-99,68,23,-99,-99,43,66,20,-99,-99,-99,142,147,-99,74,-99,114,-99,130,19,141,111,27,-99,32,43,61,-99,90,88,223
