FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
12/30/2020,7,-99,-99,34,-99,167,3,-99,-99,-99,179,63,-99,-99,-99,-99,-99,-99,103,72,50,-99,1,2,0,82,11,-99,4,65,-99,2,72,73,-99
12/30/2020,8,-99,-99,93,-99,200,27,-99,-99,-99,270,101,-99,-99,-99,-99,-99,-99,175,132,113,-99,94,17,24,114,15,-99,5,106,-99,57,91,95,-99
12/30/2020,9,-99,-99,69,-99,113,14,-99,-99,-99,207,129,-99,-99,-99,-99,-99,-99,139,31,52,-99,60,6,21,149,12,-99,7,118,-99,30,56,85,-99
12/30/2020,10,-99,-99,68,-99,45,16,-99,-99,-99,34,82,-99,-99,-99,-99,-99,-99,25,19,3,-99,6,4,2,26,5,-99,5,63,-99,8,10,52,-99
12/30/2020,11,-99,-99,33,-99,10,4,-99,-99,-99,13,18,-99,-99,-99,-99,-99,-99,11,8,3,-99,2,3,2,6,4,-99,1,20,-99,6,3,30,-99
12/30/2020,12,-99,-99,5,-99,3,2,-99,-99,-99,7,5,-99,-99,-99,-99,-99,-99,9,4,2,-99,1,1,2,4,5,-99,1,5,-99,3,2,4,-99
12/30/2020,13,-99,-99,2,-99,3,1,-99,-99,-99,4,3,-99,-99,-99,-99,-99,-99,4,3,2,-99,2,1,1,4,4,-99,-99,4,-99,1,2,3,-99
12/30/2020,14,-99,-99,1,-99,3,1,-99,-99,-99,2,3,-99,-99,-99,-99,-99,-99,2,2,2,-99,2,0,1,4,2,-99,-99,3,-99,1,1,-99,-99
12/30/2020,15,-99,-99,1,-99,3,1,-99,-99,-99,1,3,-99,-99,-99,-99,-99,-99,3,1,2,-99,2,0,1,4,2,-99,-99,6,-99,1,2,3,-99
12/30/2020,16,-99,-99,2,-99,2,1,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,2,2,2,-99,2,0,3,4,2,-99,-99,4,-99,1,2,3,-99
12/30/2020,17,-99,-99,2,-99,2,1,-99,-99,-99,1,3,-99,-99,-99,-99,-99,-99,3,2,2,-99,2,0,2,-99,1,-99,-99,4,-99,1,2,2,-99
