Fecha,promedioGasNOX,Infectados,Defunciones
11/25/2020,9375.0,2741,82
11/26/2020,9241.666666666668,2800,76
11/27/2020,10290.476190476189,3054,87
11/28/2020,9612.5,1634,80
11/29/2020,6841.666666666667,573,68
11/30/2020,5354.166666666666,3712,98
12/1/2020,6370.833333333334,3975,113
12/2/2020,4308.333333333334,4326,89
12/3/2020,6852.380952380952,4414,77
12/4/2020,7279.166666666667,4567,96
12/5/2020,6262.5,2760,81
12/6/2020,4733.333333333334,736,87
12/7/2020,5450.0,5288,125
12/8/2020,6745.833333333333,5025,108
12/9/2020,7285.714285714286,5012,108
12/10/2020,7220.833333333333,5215,120
12/11/2020,5229.166666666666,5108,118
12/12/2020,5712.5,2858,124
12/13/2020,5204.166666666666,690,116
12/14/2020,3825.0,5392,129
12/15/2020,6166.666666666666,5409,142
12/16/2020,5841.666666666666,5164,136
12/17/2020,6250.0,5167,146
12/18/2020,6679.166666666667,5564,139
12/19/2020,7333.333333333333,2929,150
12/20/2020,4995.833333333334,802,151
12/21/2020,6047.619047619048,5518,144
12/22/2020,7808.333333333333,5352,156
12/23/2020,11291.666666666668,5180,152
12/24/2020,7771.428571428571,4478,152
12/25/2020,2770.833333333333,595,135
12/26/2020,6204.166666666666,1929,176
12/27/2020,5433.333333333334,1019,187
12/28/2020,8886.363636363636,6048,166
12/29/2020,8800.0,6130,176
12/30/2020,5629.166666666666,5619,176
12/31/2020,1745.8333333333333,4893,161
1/1/2021,3516.6666666666665,685,169
1/2/2021,7090.47619047619,1880,193
1/3/2021,5858.333333333334,1090,196
1/4/2021,8912.5,6658,194
1/5/2021,6483.333333333333,6669,181
1/6/2021,8075.0,6524,197
1/7/2021,5008.333333333334,6726,168
1/8/2021,6495.2380952380945,6618,188
1/9/2021,5004.166666666666,3904,188
1/10/2021,3300.0,1309,207
1/11/2021,4029.1666666666665,7305,225
1/12/2021,5795.833333333334,6850,201
1/13/2021,7433.333333333333,6798,188
1/14/2021,7614.285714285714,6533,204
1/15/2021,7970.833333333333,6239,210
1/16/2021,6312.5,3731,191
1/17/2021,4200.0,1084,211
1/18/2021,9275.0,6582,214
1/19/2021,7150.0,6417,244
1/20/2021,5323.809523809524,5691,229
1/21/2021,6987.5,5491,197
1/22/2021,0.0,5482,204
1/23/2021,7670.833333333333,3025,204
1/24/2021,4879.166666666666,1060,225
1/25/2021,5962.5,5754,242
1/26/2021,6195.2380952380945,5836,250
1/27/2021,7912.5,5024,198
1/28/2021,3458.3333333333335,4606,192
1/29/2021,5612.5,4230,187
1/30/2021,7458.333333333333,2344,204
1/31/2021,4675.0,787,201
2/1/2021,2966.666666666667,1114,207
2/2/2021,6791.666666666667,4450,179
2/3/2021,8437.5,3840,179
2/4/2021,10879.166666666668,3606,142
2/5/2021,7441.666666666667,3483,148
2/6/2021,4558.333333333334,1879,147
2/7/2021,2923.809523809524,534,147
2/8/2021,4475.0,3913,149
2/9/2021,5237.5,3080,152
2/10/2021,6675.0,2929,129
2/11/2021,6517.391304347827,2622,113
2/12/2021,5947.826086956522,2915,127
2/13/2021,4109.523809523809,1708,133
2/14/2021,2770.833333333333,511,137
2/15/2021,5433.333333333334,2944,103
2/16/2021,7195.833333333333,2769,142
2/17/2021,4491.666666666666,2461,126
2/18/2021,8416.666666666668,2401,102
2/19/2021,7504.7619047619055,2395,102
2/20/2021,6495.833333333333,1337,100
2/21/2021,5054.166666666666,465,120
2/22/2021,6208.695652173913,3014,117
2/23/2021,4854.166666666666,2705,89
2/24/2021,5995.833333333334,2388,108
2/25/2021,6661.904761904762,2369,94
2/26/2021,7104.166666666667,2515,99
2/27/2021,5166.666666666666,1492,91
2/28/2021,4116.666666666666,518,101
